Date,Price,Open,High,Low,Change %
22/01/2003,3678.00,3736.70,3752.80,3658.40,-1.57
21/01/2003,3736.70,3778.60,3815.00,3736.70,-1.11
20/01/2003,3778.60,3820.60,3853.40,3774.10,-1.10
17/01/2003,3820.60,3881.80,3881.80,3820.60,-1.58
16/01/2003,3881.80,3887.80,3900.80,3863.10,-0.15
15/01/2003,3887.80,3945.60,3963.20,3880.10,-1.46
14/01/2003,3945.60,3948.30,3983.80,3924.30,-0.07
13/01/2003,3948.30,3974.10,4020.20,3921.90,-0.65
10/01/2003,3974.10,3934.00,3997.20,3926.00,1.02
09/01/2003,3934.00,3924.80,3942.50,3865.80,0.23
08/01/2003,3924.80,3957.40,3957.40,3906.80,-0.82
07/01/2003,3957.40,4001.40,4015.40,3925.40,-1.10
06/01/2003,4001.40,4004.90,4025.50,3930.90,-0.09
03/01/2003,4004.90,4009.50,4027.60,3991.20,-0.11
02/01/2003,4009.50,3940.40,4009.50,3915.80,1.75
31/12/2002,3940.40,3900.60,3949.10,3890.70,1.02
30/12/2002,3900.60,3829.40,3903.70,3805.10,1.86
27/12/2002,3829.40,3942.10,3944.10,3822.20,-2.86
24/12/2002,3942.10,3936.90,3957.70,3923.40,0.13
23/12/2002,3936.90,3889.90,3936.90,3887.60,1.21
20/12/2002,3889.90,3841.40,3893.30,3841.40,1.26
19/12/2002,3841.40,3835.20,3907.20,3803.40,0.16
18/12/2002,3835.20,3908.70,3911.40,3827.80,-1.88
17/12/2002,3908.70,3984.00,3999.80,3906.10,-1.89
16/12/2002,3984.00,3878.10,3987.90,3846.80,2.73
13/12/2002,3878.10,3935.30,3961.80,3839.40,-1.45
12/12/2002,3935.30,3974.90,3982.30,3916.00,-1.00
11/12/2002,3974.90,3925.00,3995.00,3919.90,1.27
10/12/2002,3925.00,3933.90,3985.60,3912.10,-0.23
09/12/2002,3933.90,4013.50,4039.80,3933.90,-1.98
06/12/2002,4013.50,4032.40,4050.40,3931.90,-0.47
05/12/2002,4032.40,4048.60,4109.90,4019.60,-0.40
04/12/2002,4048.60,4075.40,4075.40,4023.00,-0.66
03/12/2002,4075.40,4154.30,4154.30,4070.60,-1.90
02/12/2002,4154.30,4169.40,4218.60,4149.80,-0.36
29/11/2002,4169.40,4185.40,4206.80,4130.30,-0.38
28/11/2002,4185.40,4144.20,4202.20,4138.90,0.99
27/11/2002,4144.20,4071.00,4146.20,4060.90,1.80
26/11/2002,4071.00,4122.20,4142.10,4058.30,-1.24
25/11/2002,4122.20,4175.20,4197.70,4108.00,-1.27
22/11/2002,4175.20,4190.00,4224.80,4162.80,-0.35
21/11/2002,4190.00,4094.90,4194.80,4094.90,2.32
20/11/2002,4094.90,4096.50,4118.40,4069.30,-0.04
19/11/2002,4096.50,4116.00,4116.90,4070.70,-0.47
18/11/2002,4116.00,4091.60,4164.70,4087.00,0.60
15/11/2002,4091.60,4053.10,4117.40,4053.10,0.95
14/11/2002,4053.10,4029.40,4064.00,3985.40,0.59
13/11/2002,4029.40,4085.00,4085.00,3986.90,-1.36
12/11/2002,4085.00,4015.60,4085.00,4013.90,1.73
11/11/2002,4015.60,4034.60,4044.00,3961.00,-0.47
08/11/2002,4034.60,4081.30,4091.60,4026.20,-1.14
